2019/1/14 星期一 14:40:52	正在初始化...已完成
2019/1/14 星期一 15:03:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:04:58	开始预订K4108次列车车票...

2019/1/14 星期一 15:04:58	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:04:58	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:04:58	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:04:58	[返回无票]该数据为缓存,将K4108车次放入小黑屋60秒...

2019/1/14 星期一 15:04:58	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:06:01	开始预订K4108次列车车票...

2019/1/14 星期一 15:06:01	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:06:01	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:06:02	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:06:02	[返回无票]该数据为缓存,将K4108车次放入小黑屋60秒...

2019/1/14 星期一 15:06:02	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:06:10	开始预订G1316次列车车票...

2019/1/14 星期一 15:06:10	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:06:10	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:06:10	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:06:10	[返回无票]该数据为缓存,将G1316车次放入小黑屋60秒...

2019/1/14 星期一 15:06:10	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:06:13	开始预订G4652次列车车票...

2019/1/14 星期一 15:06:13	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:06:13	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:06:14	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:06:14	[返回无票]该数据为缓存,将G4652车次放入小黑屋60秒...

2019/1/14 星期一 15:06:14	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:07:02	开始预订K4108次列车车票...

2019/1/14 星期一 15:07:02	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:07:02	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:07:02	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:07:02	[返回无票]该数据为缓存,将K4108车次放入小黑屋120秒...

2019/1/14 星期一 15:07:03	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:08:42	开始预订G4652次列车车票...

2019/1/14 星期一 15:08:42	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:08:42	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:08:43	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:08:43	[返回无票]该数据为缓存,将G4652车次放入小黑屋60秒...

2019/1/14 星期一 15:08:43	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:09:04	开始预订K4108次列车车票...

2019/1/14 星期一 15:09:04	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:09:04	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:09:05	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:09:05	[返回无票]该数据为缓存,将K4108车次放入小黑屋180秒...

2019/1/14 星期一 15:09:05	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:10:08	开始预订G1002次列车车票...

2019/1/14 星期一 15:10:08	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:10:08	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:10:09	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:10:09	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 15:10:09	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:10:16	开始预订G1110次列车车票...

2019/1/14 星期一 15:10:16	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:10:16	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:10:17	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:10:17	[返回无票]该数据为缓存,将G1110车次放入小黑屋60秒...

2019/1/14 星期一 15:10:17	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:10:41	开始预订G4652次列车车票...

2019/1/14 星期一 15:10:41	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:10:41	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:10:42	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:10:42	[返回无票]该数据为缓存,将G4652车次放入小黑屋60秒...

2019/1/14 星期一 15:10:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:11:43	开始预订G4554次列车车票...

2019/1/14 星期一 15:11:43	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:11:43	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:11:44	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 15:11:44	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 15:11:44	[任务5]快速出票安全期,等待3501ms

2019/1/14 星期一 15:11:47	[提交成功]等待处理,本次用时:4.31秒

2019/1/14 星期一 15:11:49	[获取结果]12306:没有足够的票!

2019/1/14 星期一 15:11:49	[返回无票]该数据为缓存,将G4554车次放入小黑屋60秒...

2019/1/14 星期一 15:11:49	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:11:56	开始预订G4652次列车车票...

2019/1/14 星期一 15:11:56	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:11:56	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:11:56	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:11:56	[返回无票]该数据为缓存,将G4652车次放入小黑屋120秒...

2019/1/14 星期一 15:11:56	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:13:48	开始预订G4554次列车车票...

2019/1/14 星期一 15:13:48	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:13:48	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:13:48	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:13:48	[返回无票]该数据为缓存,将G4554车次放入小黑屋60秒...

2019/1/14 星期一 15:13:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:14:03	开始预订G1110次列车车票...

2019/1/14 星期一 15:14:03	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:14:03	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:14:04	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:14:04	[返回无票]该数据为缓存,将G1110车次放入小黑屋60秒...

2019/1/14 星期一 15:14:04	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:14:09	开始预订G4652次列车车票...

2019/1/14 星期一 15:14:09	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:14:09	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:14:09	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:14:09	[返回无票]该数据为缓存,将G4652车次放入小黑屋180秒...

2019/1/14 星期一 15:14:09	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:15:25	开始预订G4554次列车车票...

2019/1/14 星期一 15:15:25	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:15:25	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:15:25	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:15:25	[返回无票]该数据为缓存,将G4554车次放入小黑屋60秒...

2019/1/14 星期一 15:15:25	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:16:10	开始预订G1022次列车车票...

2019/1/14 星期一 15:16:10	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:16:10	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:16:11	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:16:11	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 15:16:11	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:24:26	开始预订Z202次列车车票...

2019/1/14 星期一 15:24:26	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:24:26	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:24:27	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 15:24:27	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 15:24:27	[任务5]快速出票安全期,等待2512ms

2019/1/14 星期一 15:24:30	[提交成功]等待处理,本次用时:3.35秒

2019/1/14 星期一 15:24:32	[订票成功]返回订单号:E740518860

2019/1/14 星期一 15:24:32	[锁定订单]坐席为系统分配,已完成锁定

2019/1/14 星期一 15:24:32	[12306Bypass]: 恭喜,抢票成功!信息如下:乘客:黄钟鼎,日期:2019-02-03,车次:Z202,地点:广州08:28-武昌19:55,席别:硬卧,更多信息请查询未付款订单...

2019/1/14 星期一 15:27:38	查询完毕,本次查询共用时:1863毫秒

2019/1/14 星期一 15:27:43	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:27:47	开始预订G1018次列车车票...

2019/1/14 星期一 15:27:47	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:27:47	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:27:48	该用户已在其他地点登录或被踢出，正在重新登录...

2019/1/14 星期一 15:27:51	[自动登录]登录成功

2019/1/14 星期一 15:27:51	[普通]线程启动完成,开始解析算法...

2019/1/14 星期一 15:27:51	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:27:52	[任务2]申请订单成功,开始获取令牌...

2019/1/14 星期一 15:27:52	[任务3]令牌获取完成,开始效验订单...

2019/1/14 星期一 15:27:54	[任务4]目前排队人数已经超过余票张数

2019/1/14 星期一 15:27:54	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/14 星期一 15:27:54	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:28:15	开始预订G1014次列车车票...

2019/1/14 星期一 15:28:15	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:28:15	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:28:17	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:28:17	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/14 星期一 15:28:17	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:28:57	开始预订G1018次列车车票...

2019/1/14 星期一 15:28:57	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:28:57	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:28:57	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 15:28:57	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 15:28:57	[任务5]快速出票安全期,等待3524ms

2019/1/14 星期一 15:29:01	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 15:29:01	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/14 星期一 15:29:01	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:29:31	开始预订G1014次列车车票...

2019/1/14 星期一 15:29:31	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:29:31	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:29:31	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:29:31	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/14 星期一 15:29:31	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:29:40	开始预订G1010次列车车票...

2019/1/14 星期一 15:29:40	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:29:40	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:29:41	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:29:41	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/14 星期一 15:29:41	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:29:54	开始预订G1022次列车车票...

2019/1/14 星期一 15:29:54	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:29:54	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:29:55	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:29:55	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 15:29:55	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:30:10	开始预订G76次列车车票...

2019/1/14 星期一 15:30:10	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:30:10	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:30:10	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:30:10	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/14 星期一 15:30:10	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:30:11	开始预订G1018次列车车票...

2019/1/14 星期一 15:30:11	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:30:11	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:30:12	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:30:12	[返回无票]该数据为缓存,将G1018车次放入小黑屋60秒...

2019/1/14 星期一 15:30:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:30:32	开始预订G1014次列车车票...

2019/1/14 星期一 15:30:32	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:30:32	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:30:33	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:30:33	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/14 星期一 15:30:33	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:31:11	开始预订G76次列车车票...

2019/1/14 星期一 15:31:11	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:31:11	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:31:12	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:31:12	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/14 星期一 15:31:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:31:23	开始预订G1010次列车车票...

2019/1/14 星期一 15:31:23	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:31:24	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:31:24	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:31:24	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/14 星期一 15:31:24	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:31:25	开始预订G1018次列车车票...

2019/1/14 星期一 15:31:25	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:31:25	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:31:27	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:31:27	[返回无票]该数据为缓存,将G1018车次放入小黑屋120秒...

2019/1/14 星期一 15:31:27	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:32:01	开始预订G1014次列车车票...

2019/1/14 星期一 15:32:01	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:32:01	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:32:01	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:32:01	[返回无票]该数据为缓存,将G1014车次放入小黑屋120秒...

2019/1/14 星期一 15:32:01	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:32:48	开始预订G1010次列车车票...

2019/1/14 星期一 15:32:48	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:32:48	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:32:49	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:32:49	[返回无票]该数据为缓存,将G1010车次放入小黑屋60秒...

2019/1/14 星期一 15:32:49	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:32:53	开始预订G1022次列车车票...

2019/1/14 星期一 15:32:53	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:32:53	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:32:53	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:32:53	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 15:32:54	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:33:38	开始预订G1018次列车车票...

2019/1/14 星期一 15:33:38	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:33:38	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:33:38	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 15:33:38	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 15:33:38	[任务5]快速出票安全期,等待3812ms

2019/1/14 星期一 15:33:42	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 15:33:42	[返回无票]该数据为缓存,将G1018车次放入小黑屋180秒...

2019/1/14 星期一 15:33:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:34:11	开始预订G76次列车车票...

2019/1/14 星期一 15:34:11	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:34:11	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:34:12	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:34:12	[返回无票]该数据为缓存,将G76车次放入小黑屋60秒...

2019/1/14 星期一 15:34:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:34:33	开始预订G1014次列车车票...

2019/1/14 星期一 15:34:34	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:34:34	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:34:35	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:34:35	[返回无票]该数据为缓存,将G1014车次放入小黑屋180秒...

2019/1/14 星期一 15:34:35	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:35:19	开始预订G1010次列车车票...

2019/1/14 星期一 15:35:19	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:35:19	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:35:20	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:35:20	[返回无票]该数据为缓存,将G1010车次放入小黑屋120秒...

2019/1/14 星期一 15:35:21	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:43:57	开始预订G1002次列车车票...

2019/1/14 星期一 15:43:57	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:43:57	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:43:57	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:43:57	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 15:43:57	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:47:17	开始预订G1002次列车车票...

2019/1/14 星期一 15:47:17	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:47:17	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:47:19	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:47:19	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 15:47:19	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:51:12	开始预订G1028次列车车票...

2019/1/14 星期一 15:51:12	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:51:12	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:51:13	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:51:13	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/14 星期一 15:51:13	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:52:16	开始预订G1028次列车车票...

2019/1/14 星期一 15:52:16	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:52:16	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:52:17	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:52:17	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/14 星期一 15:52:17	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:53:35	开始预订G1028次列车车票...

2019/1/14 星期一 15:53:35	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:53:35	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:53:36	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:53:36	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/14 星期一 15:53:36	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:56:21	开始预订G1028次列车车票...

2019/1/14 星期一 15:56:21	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:56:21	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:56:22	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:56:22	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/14 星期一 15:56:23	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 15:58:07	开始预订G1028次列车车票...

2019/1/14 星期一 15:58:07	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 15:58:07	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 15:58:08	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 15:58:08	[返回无票]该数据为缓存,将G1028车次放入小黑屋60秒...

2019/1/14 星期一 15:58:08	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:00:44	开始预订G1022次列车车票...

2019/1/14 星期一 16:00:44	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:00:44	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:00:45	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:00:45	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:00:45	[任务5]快速出票安全期,等待2300ms

2019/1/14 星期一 16:00:47	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:00:47	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 16:00:47	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:01:04	开始预订Z230次列车车票...

2019/1/14 星期一 16:01:04	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:01:04	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:01:05	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:01:05	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/14 星期一 16:01:05	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:01:12	开始预订G826次列车车票...

2019/1/14 星期一 16:01:12	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:01:12	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:01:14	[任务2]实时余票为(1)张,继续提交...

